dateFightCard,eventNameFightCard,locationFightCard,fighter1Name,fighter1Url,fighter1Result,fighter2Name,fighter2Url,fighter2Result,fightMethodResult,fightRound,time
02/6/2022,world amateur k-1 federation,-Dinamo Sport Complex; Erevan; Armenia-,nair melikyan,None,W,mahdi mohammad,None,L,tko (leg kicks),1,95
02/6/2022,lfc 5 - lion's fighting championship 5,-District Headquarters; Dera Ismail Khan; Khyber Pakhtunkhwa; Pakistan-,babar ali,None,W,jamal naseer,None,L,tko,1,169
02/6/2022,lfc 5 - lion's fighting championship 5,-District Headquarters; Dera Ismail Khan; Khyber Pakhtunkhwa; Pakistan-,zeeshan mehsood,https://www.sherdog.com/fighter/Zeeshan-Mehsood-368149,win,tamim omarzai,https://www.sherdog.com/fighter/Tamim-Omarzai-400516,None,None,None,None
02/6/2022,lfc 5 - lion's fighting championship 5,-District Headquarters; Dera Ismail Khan; Khyber Pakhtunkhwa; Pakistan-,hussain ayyan,https://www.sherdog.com/fighter/Hussain-Ayyan-359189,win,najibullah asghari,https://www.sherdog.com/fighter/Najibullah-Asghari-400515,None,None,None,None
02/6/2022,lfc 5 - lion's fighting championship 5,-District Headquarters; Dera Ismail Khan; Khyber Pakhtunkhwa; Pakistan-,jawad andishmand,https://www.sherdog.com/fighter/Jawad-Andishmand-400513,win,naveed alam,https://www.sherdog.com/fighter/Naveed-Alam-400514,None,None,None,None
02/6/2022,lfc 5 - lion's fighting championship 5,-District Headquarters; Dera Ismail Khan; Khyber Pakhtunkhwa; Pakistan-,zulqarnain zakki,https://www.sherdog.com/fighter/Zulqarnain-Zakki-382042,win,bilal mehsood,https://www.sherdog.com/fighter/Bilal-Mehsood-379031,None,None,None,None
02/6/2022,lfc 5 - lion's fighting championship 5,-District Headquarters; Dera Ismail Khan; Khyber Pakhtunkhwa; Pakistan-,faheem khan,https://www.sherdog.com/fighter/Faheem-Khan-375991,win,haseeb khan,https://www.sherdog.com/fighter/Haseeb-Khan-400512,None,None,None,None
02/6/2022,lfc 5 - lion's fighting championship 5,-District Headquarters; Dera Ismail Khan; Khyber Pakhtunkhwa; Pakistan-,sikandar lodhi,https://www.sherdog.com/fighter/Sikandar-Lodhi-382045,win,salman khan,https://www.sherdog.com/fighter/Salman-Khan-400511,None,None,None,None
02/6/2022,lfc 5 - lion's fighting championship 5,-District Headquarters; Dera Ismail Khan; Khyber Pakhtunkhwa; Pakistan-,haji mehsood,https://www.sherdog.com/fighter/Haji-Mehsood-368143,win,sajid khan,https://www.sherdog.com/fighter/Sajid-Khan-400510,None,None,None,None
02/6/2022,lfc 5 - lion's fighting championship 5,-District Headquarters; Dera Ismail Khan; Khyber Pakhtunkhwa; Pakistan-,amin mehsood,https://www.sherdog.com/fighter/Amin-Mehsood-393136,win,afnan khan,https://www.sherdog.com/fighter/Afnan-Khan-400509,None,None,None,None
02/6/2022,lfc 5 - lion's fighting championship 5,-District Headquarters; Dera Ismail Khan; Khyber Pakhtunkhwa; Pakistan-,arshad khan,https://www.sherdog.com/fighter/Arshad-Khan-400508,win,kareem ullah,https://www.sherdog.com/fighter/Kareem-Ullah-395711,None,None,None,None
